subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
199:R_D1Afhly6eOCY66B,3,32.914,0.0011731,0.18025,0.083435,0.25505,0.32637,2.2516,-0.3771,4.6495,9.1131,0.18025,0.47662983522420416,0.00961328,183
199:R_D1Afhly6eOCY66B,4,50.385,0.0011575,0.4901,0.053721,0.26737,0.46291,3.7564,0.0085386,9.9459,4.3098,0.4901,0.5502526071204242,0.00342941,183
199:R_D1Afhly6eOCY66B,5,573.47,0.0036905,0.24979,0.05,0.94433,0.34206,2.5359,0.50413,5.1651,9.1711,0.24979,0.5033014059335591,1.11191,183
200:R_1NCzjmN3Hl5r3HF,1,2.1795,0.0010113,0.41624,0.050015,0.25217,0.77023,1.5429,-1.0305,6.1661,9.912,0.41624,0.48185559725699084,5.86613,78
200:R_1NCzjmN3Hl5r3HF,2,6.7512,0.0054917,0.64767,0.07739,0.63693,0.635,2.1857,-2.7643,6.3633,9.832,0.64767,0.40414929834963453,1.82415e-05,78
200:R_1NCzjmN3Hl5r3HF,3,6.1007,0.011761,0.31019,0.09137,0.82932,0.71222,0.99914,-0.13742,4.1684,9.1322,0.31019,0.5364987523945962,6.1104,78
200:R_1NCzjmN3Hl5r3HF,4,11.965,0.0081361,0.24487,0.093439,0.952,0.893,0.71734,-0.36213,3.2216,9.9372,0.24487,0.4636831553830278,0.315615,78
200:R_1NCzjmN3Hl5r3HF,5,5.6584,0.0010033,0.52522,0.05182,0.84142,0.66799,1.5517,-0.16759,4.3828,9.9501,0.52522,0.5188882732030663,3.86853,78
201:R_3kzZPXnjFGbpt30,1,18.701,0.0055771,0.40684,0.050347,1.0958,0.49162,0.81915,0.84574,8.0888,6.8744,0.40684,0.5446788658437427,3.06744,244
201:R_3kzZPXnjFGbpt30,2,6.3404,0.0010694,0.38476,0.051499,1.2543,0.46424,0.83077,0.33235,4.1746,9.236,0.38476,0.5073122342551415,0.927016,244
201:R_3kzZPXnjFGbpt30,3,7.5066,0.0010004,0.29398,0.05,1.0369,0.40133,0.54697,0.86093,3.7638,9.8903,0.29398,0.5612885015940422,2.00281,244
201:R_3kzZPXnjFGbpt30,4,33.81,0.0012966,0.45391,0.096793,1.0827,0.50679,1.2352,0.89677,7.1836,7.4204,0.45391,0.5551959440898945,1.14113,244
201:R_3kzZPXnjFGbpt30,5,46.87,0.0092017,0.3396,0.05,1.0574,0.70801,1.3477,0.98633,3.5596,-0.40039,0.3396,0.5079069700869413,2.09143,244
202:R_2OHMsGSLXJZG0Bc,1,3.1222,0.044155,0.11567,0.050007,1.0399,0.71084,0.94206,0.43223,2.8491,9.9543,0.11567,0.5023996734526477,6.97364,60
202:R_2OHMsGSLXJZG0Bc,2,2.5908,0.02372,0.35354,0.069731,0.5285,1.0556,1.5623,-2.4059,3.7361,9.9399,0.35354,0.327081235355531,5.63387,60
202:R_2OHMsGSLXJZG0Bc,3,41.863,0.42514,0.565,0.050006,0.45098,1.2413,2.1697,-5.4192,4.1362,5.5009,0.565,0.22488270050212847,5.08309,60
202:R_2OHMsGSLXJZG0Bc,4,4.7936,0.05319,0.21828,0.059069,1.0639,1.0451,1.3349,-0.10034,3.4508,5.6181,0.21828,0.45032006759735976,6.21771,60
202:R_2OHMsGSLXJZG0Bc,5,4.1738,0.0090455,0.42409,0.054165,1.1602,0.97785,1.3597,0.033174,3.3319,9.4625,0.42409,0.4439613934221306,2.90011,60
