,subject,fold,1,2,3,4,5,6,7,8,9,10
168,Sub842_vs_Level110,4,1.5624,0.014454,0.20649,0.050132,1.0225,1.0142,0.93534,0.5919,4.1762,6.2181
169,Sub842_vs_Level110,5,2.7525,0.0017271,0.12327,0.051306,0.54112,1.1386,0.83571,0.47971,5.1013,7.0847
170,Sub842_vs_Level118,1,0.59617,0.067705,0.31222,0.050737,0.57863,0.99734,1.8666,1.3441,5.6815,9.9992
171,Sub842_vs_Level118,2,1.0899,0.019902,0.14218,0.050197,0.6017,0.92586,1.4326,0.78792,4.8605,10
172,Sub842_vs_Level118,3,0.78147,0.0054815,0.25922,0.055061,0.7941,0.99362,1.418,1.034,4.4995,9.5322
173,Sub842_vs_Level118,4,2.6773,0.032109,0.29372,0.067276,0.8758,1.2206,1.5575,-0.073465,4.98,7.6423
174,Sub842_vs_Level118,5,1.8159,0.001012,0.30365,0.050001,0.80858,1.0744,1.4881,0.2529,4.5331,9.9998
175,Sub842_vs_Level92,1,0.94644,0.049683,0.15557,0.052023,0.56447,0.95984,1.6493,1.6084,6.5189,8.1493
176,Sub842_vs_Level92,2,1.0571,0.009404,0.0080698,0.063192,0.64851,1.1083,0.96035,0.9803,4.3589,9.9874
177,Sub842_vs_Level92,3,2.5124,0.0085053,0.013342,0.051542,0.48236,1.0903,0.96661,0.6027,4.1832,6.4358
178,Sub842_vs_Level92,4,0.81149,0.13443,0.21722,0.089573,0.46779,1.0531,1.3933,0.78821,5.247,7.6709
179,Sub842_vs_Level92,5,0.88745,0.0023981,0.17019,0.053889,0.61688,1.1069,1.73,1.5234,6.5007,9.7162
180,Sub849_vs_Level110,1,2.7717,0.0089324,0.32839,0.050036,1.0409,0.40715,1.2703,0.088572,3.4555,5.9017
181,Sub849_vs_Level110,2,1.0519,0.064936,0.14112,0.052557,0.54443,0.45703,1.1746,0.28567,4.1099,9.5705
182,Sub849_vs_Level110,3,0.9745,0.052223,0.13451,0.056987,0.34523,0.37364,1.3785,-0.2076,4.8293,9.9615
183,Sub849_vs_Level110,4,2.5402,0.33272,0.20668,0.069913,0.31712,0.53384,1.9544,-0.15681,6.3809,9.9743
184,Sub849_vs_Level110,5,1.9669,0.0014747,0.31526,0.078575,0.88244,0.59142,0.91433,-0.29316,3.1877,7.5906
185,Sub849_vs_Level118,1,1.2431,0.026328,0.051342,0.05,0.46652,0.26038,1.4684,0.78561,4.4712,9.9988
186,Sub849_vs_Level118,2,2.4608,0.023757,0.21178,0.064661,0.97717,0.80981,1.0392,0.1408,4.1767,6.8631
187,Sub849_vs_Level118,3,2.8531,0.017483,0.085678,0.050362,0.25067,0.34316,1.7587,0.02066,4.9319,9.9698
188,Sub849_vs_Level118,4,0.4212,0.014894,0.22828,0.050217,0.52663,0.39144,1.427,0.46756,4.5632,9.9032
